matrix_idx,atlas_value,atlas_label,functional_network,anatomical_system,rationale
106,110,Cerebellum_9_R,Cerebellar,Cerebellum,cerebellar cortex / vermis
107,111,Cerebellum_10_L,Cerebellar,Cerebellum,cerebellar cortex / vermis
108,112,Cerebellum_10_R,Cerebellar,Cerebellum,cerebellar cortex / vermis
109,113,Vermis_1_2,Cerebellar,Cerebellum,cerebellar cortex / vermis
110,114,Vermis_3,Cerebellar,Cerebellum,cerebellar cortex / vermis
111,115,Vermis_4_5,Cerebellar,Cerebellum,cerebellar cortex / vermis
112,116,Vermis_6,Cerebellar,Cerebellum,cerebellar cortex / vermis
113,117,Vermis_7,Cerebellar,Cerebellum,cerebellar cortex / vermis
114,118,Vermis_8,Cerebellar,Cerebellum,cerebellar cortex / vermis
115,119,Vermis_9,Cerebellar,Cerebellum,cerebellar cortex / vermis
116,120,Vermis_10,Cerebellar,Cerebellum,cerebellar cortex / vermis
117,121,Thal_AV_L,Subcortical,Thalamus,thalamic nucleus
118,122,Thal_AV_R,Subcortical,Thalamus,thalamic nucleus
119,123,Thal_LP_L,Subcortical,Thalamus,thalamic nucleus
120,124,Thal_LP_R,Subcortical,Thalamus,thalamic nucleus
121,125,Thal_VA_L,Subcortical,Thalamus,thalamic nucleus
122,126,Thal_VA_R,Subcortical,Thalamus,thalamic nucleus
123,127,Thal_VL_L,Subcortical,Thalamus,thalamic nucleus
124,128,Thal_VL_R,Subcortical,Thalamus,thalamic nucleus
125,129,Thal_VPL_L,Subcortical,Thalamus,thalamic nucleus
126,130,Thal_VPL_R,Subcortical,Thalamus,thalamic nucleus
127,131,Thal_IL_L,Subcortical,Thalamus,thalamic nucleus
128,132,Thal_IL_R,Subcortical,Thalamus,thalamic nucleus
129,133,Thal_Re_L,Subcortical,Thalamus,thalamic nucleus
130,134,Thal_Re_R,Subcortical,Thalamus,thalamic nucleus
131,135,Thal_MDm_L,Subcortical,Thalamus,thalamic nucleus
132,136,Thal_MDm_R,Subcortical,Thalamus,thalamic nucleus
133,137,Thal_MDl_L,Subcortical,Thalamus,thalamic nucleus
134,138,Thal_MDl_R,Subcortical,Thalamus,thalamic nucleus
135,139,Thal_LGN_L,Subcortical,Thalamus,thalamic nucleus
136,140,Thal_LGN_R,Subcortical,Thalamus,thalamic nucleus
137,141,Thal_MGN_L,Subcortical,Thalamus,thalamic nucleus
138,142,Thal_MGN_R,Subcortical,Thalamus,thalamic nucleus
139,143,Thal_PuI_L,Subcortical,Thalamus,thalamic nucleus
140,144,Thal_PuI_R,Subcortical,Thalamus,thalamic nucleus
141,145,Thal_PuM_L,Subcortical,Thalamus,thalamic nucleus
142,146,Thal_PuM_R,Subcortical,Thalamus,thalamic nucleus
143,147,Thal_PuA_L,Subcortical,Thalamus,thalamic nucleus
144,148,Thal_PuA_R,Subcortical,Thalamus,thalamic nucleus
145,149,Thal_PuL_L,Subcortical,Thalamus,thalamic nucleus
146,150,Thal_PuL_R,Subcortical,Thalamus,thalamic nucleus
147,151,ACC_sub_L,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
148,152,ACC_sub_R,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
149,153,ACC_pre_L,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
150,154,ACC_pre_R,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
151,155,ACC_sup_L,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
152,156,ACC_sup_R,Salience_VAN,Limbic,anterior cingulate — salience (pregenual ACC_pre alt: DMN)
153,157,N_Acc_L,Subcortical,BasalGanglia,nucleus accumbens (ventral striatum)
154,158,N_Acc_R,Subcortical,BasalGanglia,nucleus accumbens (ventral striatum)
155,159,VTA_L,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
156,160,VTA_R,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
157,161,SN_pc_L,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
158,162,SN_pc_R,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
159,163,SN_pr_L,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
160,164,SN_pr_R,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
161,165,Red_N_L,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
162,166,Red_N_R,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
163,167,LC_L,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
164,168,LC_R,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
165,169,Raphe_D,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
166,170,Raphe_M,Brainstem,Brainstem,midbrain/pontine neuromodulatory nucleus (low edge support expected)
