package	version	wheel_filename	sha256
immutables	0.21	immutables-0.21-cp312-cp312-manylinux_2_5_x86_64.manylinux1_x86_64.manylinux_2_17_x86_64.manylinux2014_x86_64.whl	dad7c0c74b285cc0e555ec0e97acbdc6f1862fcd16b99abd612df3243732e741
jinja2	3.1.6	jinja2-3.1.6-py3-none-any.whl	85ece4451f492d0c13c5dd7c13a64681a86afae63a5f347908daf103ce6d2f67
jsonschema	4.26.0	jsonschema-4.26.0-py3-none-any.whl	d489f15263b8d200f8387e64b4c3a75f06629559fb73deb8fdfb525f2dab50ce
jsonschema-specifications	2025.9.1	jsonschema_specifications-2025.9.1-py3-none-any.whl	98802fee3a11ee76ecaca44429fda8a41bff98b00a0f2838151b113f210cc6fe
jupyter-core	5.9.1	jupyter_core-5.9.1-py3-none-any.whl	ebf87fdc6073d142e114c72c9e29a9d7ca03fad818c5d300ce2adc1fb0743407
markupsafe	3.0.3	markupsafe-3.0.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	d6dd0be5b5b189d31db7cda48b91d7e0a9795f31430b7f271219ab30f1d3ac9d
nbformat	5.10.4	nbformat-5.10.4-py3-none-any.whl	3b48d6c8fbca4b299bf3982ea7db1af21580e4fec269ad087b9e81588891200b
nibabel	5.4.2	nibabel-5.4.2-py3-none-any.whl	553482c5f1e1034fc312edf6fb7f32236c0056439845d1c29293b7e8c98d4854
numpy	2.5.1	numpy-2.5.1-cp312-cp312-manylinux_2_27_x86_64.manylinux_2_28_x86_64.whl	59fda5e192b570217ec2580c96f00e9a7e12ef6866a900eb089b62c1a32545ca
packaging	25.0	packaging-25.0-py3-none-any.whl	29572ef2b1f17581046b3a2227d5c611fb25ec70ca1ba8554b24b0e69331a484
pandas	3.0.3	pandas-3.0.3-cp312-cp312-manylinux_2_24_x86_64.manylinux_2_28_x86_64.whl	6dc0b3fd2169c9157deed50b4d519553a3655c8c6a96027136d654592be973a9
platformdirs	4.10.1	platformdirs-4.10.1-py3-none-any.whl	0e4eff26be2d75293977f7cddc153fd9b8eaa7fb0c7b64ffe4076cb443117443
psutil	7.2.2	psutil-7.2.2-cp36-abi3-manylinux2010_x86_64.manylinux_2_12_x86_64.manylinux_2_28_x86_64.whl	076a2d2f923fd4821644f5ba89f059523da90dc9014e85f8e45a5774ca5bc6f9
pulp	3.3.2	pulp-3.3.2-py3-none-any.whl	631b166f72086971a9597f7a0233ababa99bb8d50a01cd543f7758be5a9f86c0
pydantic	2.13.4	pydantic-2.13.4-py3-none-any.whl	45a282cde31d808236fd7ea9d919b128653c8b38b393d1c4ab335c62924d9aba
pydantic-core	2.46.4	pydantic_core-2.46.4-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	926c9541b14b12b1681dca8a0b75feb510b06c6341b70a8e500c2fdcff837cce
python-dateutil	2.9.0.post0	python_dateutil-2.9.0.post0-py2.py3-none-any.whl	a8b2bc7bffae282281c8140a97d3aa9c14da0b136dfe83f850eea9a5f7470427
pyyaml	6.0.3	pyyaml-6.0.3-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	ba1cc08a7ccde2d2ec775841541641e4548226580ab850948cbfda66a1befcdc
referencing	0.37.0	referencing-0.37.0-py3-none-any.whl	381329a9f99628c9069361716891d34ad94af76e461dcb0335825aecc7692231
requests	2.34.2	requests-2.34.2-py3-none-any.whl	2a0d60c172f83ac6ab31e4554906c0f3b3588d37b5cb939b1c061f4907e278e0
rpds-py	2026.6.3	rpds_py-2026.6.3-cp312-cp312-manylinux_2_17_x86_64.manylinux2014_x86_64.whl	ecabd69db66de867690f9797f2f8fa27ba501bbc24540cbdbdc649cd15888ba6
six	1.17.0	six-1.17.0-py2.py3-none-any.whl	4721f391ed90541fddacab5acf947aa0d3dc7d27b2e1e8eda2be8970586c3274
smart-open	7.7.1	smart_open-7.7.1-py3-none-any.whl	cb62dc45f519bf39b612564d326d2a17556f3a6056e3c3a86a07215d670d45bc
smmap	5.0.3	smmap-5.0.3-py3-none-any.whl	c106e05d5a61449cf6ba9a1e650227ecfb141590d2a98412103ff35d89fc7b2f
snakemake	9.23.1	snakemake-9.23.1-py3-none-any.whl	9fdbfff25f1b442cdf7906ca06b465fc24b9bf72e2d51514fb93d83e3f8aeb35
snakemake-interface-common	1.23.0	snakemake_interface_common-1.23.0-py3-none-any.whl	43bb10102d07149f27787dfc65a7342b86ff772973e7f9ca4940c89cb412a11e
snakemake-interface-executor-plugins	9.4.0	snakemake_interface_executor_plugins-9.4.0-py3-none-any.whl	d335c093185897e4e3654a39bab3a6f1c57dc1a54f998c92bd2d88640ab4a05e
snakemake-interface-logger-plugins	2.1.0	snakemake_interface_logger_plugins-2.1.0-py3-none-any.whl	601e3e0770dd1b460c1dcb7bd33f4fc2eb8af5016634b80d985cb993f674ef46
snakemake-interface-report-plugins	1.3.0	snakemake_interface_report_plugins-1.3.0-py3-none-any.whl	78da3931f70e79eef51e5645a40b172929e555fe4d86ff45d6b856e521a379db
snakemake-interface-scheduler-plugins	2.0.2	snakemake_interface_scheduler_plugins-2.0.2-py3-none-any.whl	b9ddfa508bd480711de1770dfb24f3b813cfa3cd0f862f0127ef721ae5346915
snakemake-interface-storage-plugins	4.4.1	snakemake_interface_storage_plugins-4.4.1-py3-none-any.whl	6e075f448543cc3d0cb1ee5e6e5a83af9761e7085f3ce0922011685d098f231e
sqlalchemy	2.0.51	sqlalchemy-2.0.51-cp312-cp312-manylinux2014_x86_64.manylinux_2_17_x86_64.manylinux_2_28_x86_64.whl	1d21ce524ab86c23046e992a5b81cb54c21079c6df6e78b8fc77d77cac70a6b9
sqlmodel	0.0.37	sqlmodel-0.0.37-py3-none-any.whl	2137a4045ef3fd66a917a7717ada959a1ceb3630d95e1f6aaab39dd2c0aef278
tabulate	0.10.0	tabulate-0.10.0-py3-none-any.whl	f0b0622e567335c8fabaaa659f1b33bcb6ddfe2e496071b743aa113f8774f2d3
tenacity	9.1.4	tenacity-9.1.4-py3-none-any.whl	6095a360c919085f28c6527de529e76a06ad89b23659fa881ae0649b867a9d55
throttler	1.2.3	throttler-1.2.3-py3-none-any.whl	241ea3e97438dec4dc2f31ddc56dbd96262787a9b1d0598adfcc0bada1134b66
traitlets	5.15.1	traitlets-5.15.1-py3-none-any.whl	770a53705f84b81ac107e83a1b3328ff2dae16094d8fc3cfc004e4b22dfd8e92
typing-extensions	4.16.0	typing_extensions-4.16.0-py3-none-any.whl	481caa481374e813c1b176ada14e97f1f67a4539ce9cfeb3f350d78d6370c2e8
typing-inspection	0.4.2	typing_inspection-0.4.2-py3-none-any.whl	4ed1cacbdc298c220f1bd249ed5287caa16f34d44ef4e9c3d0cbad5b521545e7
urllib3	2.7.0	urllib3-2.7.0-py3-none-any.whl	9fb4c81ebbb1ce9531cce37674bbc6f1360472bc18ca9a553ede278ef7276897
wrapt	2.2.2	wrapt-2.2.2-cp312-cp312-manylinux1_x86_64.manylinux_2_28_x86_64.manylinux_2_5_x86_64.whl	2e096c9d39a59b35b63c9aacfbbbec2088ff51ff1fc31051acc60a07f42f273a
yte	1.9.4	yte-1.9.4-py3-none-any.whl	5dac63303d3e6bc2ebadc36ece3c3fb09343772fe6e25e9356d9baf8f9dfaf6d
