"year","title","journal","doi_or_url","study_type","cohort","modality","methods","main finding","relevance_to_current_claim","novelty_status","limitations"
"2009","Regionally-specific diffusion tensor imaging in mild cognitive impairment and Alzheimer's disease","NeuroImage","https://doi.org/10.1016/j.neuroimage.2009.01.054","primary cross-sectional study","CN, MCI and AD clinical groups","DTI","regional FA and diffusivity analysis","Regional diffusion abnormalities differentiated MCI and AD and related to cognition","Regional DTI stage effects are established","established prior art","Cross-sectional and susceptible to partial volume"
"2010","Absolute diffusivities define the landscape of white matter degeneration in Alzheimer's disease","Brain","https://doi.org/10.1093/brain/awp257","primary cross-sectional study","early AD and controls","DTI","whole-brain TBSS of FA, MD, axial and radial diffusivity","Absolute diffusivities were more widespread than FA, especially in fornix, cingulum and temporoparietal pathways","Direct prior art for MD, RD and axial diffusivity being more sensitive than FA","established prior art","Tensor metrics remain biologically nonspecific and crossing-fiber sensitive"
"2010","Longitudinal changes in fiber tract integrity in healthy aging and mild cognitive impairment: a DTI follow-up study","Journal of Alzheimer's Disease","https://doi.org/10.3233/JAD-2010-100234","primary longitudinal study","healthy older adults and MCI","DTI","longitudinal tract analysis","MCI showed tract-specific longitudinal diffusion changes beyond healthy aging","Longitudinal DTI change is established","established prior art","Modest sample and older acquisition"
"2011","Diffusion tensor imaging and tract-based spatial statistics in Alzheimer's disease and mild cognitive impairment","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2009.10.006","primary cross-sectional study","17 AD, 27 MCI, 19 controls","DTI","TBSS","Widespread tract abnormalities were greatest in AD with MCI intermediate","A monotonic CN-MCI-AD diffusion gradient is not novel","established prior art","Small single-site cohort and cross-sectional inference"
"2011","DTI measures in crossing-fibre areas: increased diffusion anisotropy reveals early white matter alteration in MCI and mild Alzheimer's disease","NeuroImage","https://doi.org/10.1016/j.neuroimage.2010.12.008","primary cross-sectional study","MCI, mild AD and controls","DTI","crossing-fiber-aware interpretation of TBSS metrics","Some regions showed paradoxically increased FA because degeneration of one crossing population unmasks another","Critical warning that FA direction is not a simple integrity scale","novelty guardrail","Tensor model cannot resolve the underlying fiber populations directly"
"2012","The fornix sign: a potential sign for Alzheimer's disease based on diffusion tensor imaging","Journal of Alzheimer's Disease","https://pubmed.ncbi.nlm.nih.gov/21848679/","primary longitudinal prognostic study","23 AD, 24 aMCI, 25 controls with follow-up","DTI","visual and quantitative fornix FA sign","The fornix sign predicted CN-to-aMCI and aMCI-to-AD conversion in a small cohort","Direct prior art for fornix-based prognosis","established prior art","Small sample and optimistic single-cohort diagnostic estimates"
"2013","Longitudinal, region-specific course of diffusion tensor imaging measures in mild cognitive impairment and Alzheimer's disease","Alzheimer's & Dementia","https://doi.org/10.1016/j.jalz.2012.05.2186","primary longitudinal study","CN, MCI and AD","DTI","generalized estimating equations for regional FA and MD","Fornix and splenium differences were stable and some changes emerged during MCI","Regional longitudinal DTI trajectories are established","established prior art","Regional sampling and limited power for conversion subgroups"
"2013","Brain microstructure reveals early abnormalities more than two years prior to clinical progression from mild cognitive impairment to Alzheimer's disease","Journal of Neuroscience","https://doi.org/10.1523/JNEUROSCI.4437-12.2013","primary longitudinal prognostic study","MCI converters and non-converters","DTI","whole-brain microstructural comparison before conversion","Diffusion abnormalities preceded clinical conversion by more than two years","Preconversion diffusion signal is established prior art","established prior art","Clinical conversion endpoint and modest cohort"
"2015","Widespread white matter degeneration preceding the onset of dementia","Alzheimer's & Dementia","https://doi.org/10.1016/j.jalz.2014.04.518","primary longitudinal prognostic study","18 MCI, 15 AD, 15 controls; 36-month follow-up","free-water corrected DTI","TBSS with free-water elimination","Free-water-corrected radial diffusivity was widespread in MCI converters but not stable MCI","Direct prior art for conversion-sensitive advanced DTI","established prior art","Small cohort and no external validation"
"2017","White-matter integrity on DTI and the pathologic staging of Alzheimer's disease","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2017.04.024","primary clinicopathologic study","46 autopsy-staged participants","DTI and neuropathology","DTI associations with Braak and amyloid plaque stages","Limbic and medial parietal DTI abnormalities tracked tau stage and severity more than amyloid plaques","Strong prior art for limbic diffusion-tau linkage","established prior art","Antemortem-to-autopsy interval and selected autopsy cohort"
"2017","Dissociable diffusion MRI patterns of white matter microstructure and connectivity in Alzheimer's disease spectrum","Scientific Reports","https://doi.org/10.1038/srep45131","primary cross-sectional multimetric study","79 AD, 55 MCI, 30 subjective cognitive impairment","dMRI","linked independent-component analysis across FA, MD, RD, axial diffusivity, crossing-fiber and connectivity-density measures","Coordinated but dissociable microstructural and connectivity patterns followed disease severity","Direct prior art for integrating diffusion scalars with connectivity into one story","established prior art","Clinical groups, cross-sectional design and no external replication"
"2017","3D tract-specific local and global analysis of white matter integrity in Alzheimer's disease","Human Brain Mapping","https://doi.org/10.1002/hbm.23448","primary cross-sectional tract study","49 controls, 110 MCI, 41 AD","DTI","18-tract along-tract and global analysis","Tract-specific abnormalities showed a graded CN-MCI-AD pattern","Along-tract differentiation is established","established prior art","ADNI cohort reuse and tensor-model limitations"
"2017","Individual classification of Alzheimer's disease with diffusion magnetic resonance imaging","NeuroImage","https://doi.org/10.1016/j.neuroimage.2017.03.025","primary machine-learning study","77 AD, 173 controls","dMRI","ICA features, raw connectomes and graph measures with classification","FA independent components and raw connectomes achieved higher AUC than many summary graph metrics","Diffusion-connectome classification is not novel by itself","established prior art","AD versus control only; internal validation and cohort effects"
"2017","Distinct white matter microstructural abnormalities and extracellular water increases relate to cognitive impairment in Alzheimer's disease with and without cerebrovascular disease","Alzheimer's Research & Therapy","https://doi.org/10.1186/s13195-017-0292-4","primary cross-sectional differential-pathology study","AD with and without cerebrovascular disease, vascular dementia and controls","free-water dMRI","bi-tensor free-water and tissue-compartment analysis","Extracellular water and tissue changes differed across AD and vascular disease and related to cognition","Vascular and free-water confounding must be modeled before attributing effects to AD","established prior art","Cross-sectional clinical groups and indirect biological interpretation"
"2018","Fibre-specific white matter reductions in Alzheimer's disease and mild cognitive impairment","Brain","https://doi.org/10.1093/brain/awx355","primary cross-sectional fixel study","177 AIBL participants","multi-shell dMRI","fixel-based fiber density and cross-section","AD showed widespread fiber-specific loss; MCI effects were more focal and amyloid stratification complicated the pattern","Fixel analysis and posterior cingulum findings are established","established prior art","Cross-sectional and some MCI effects were driven by amyloid-negative cases"
"2019","Microstructural White Matter Alterations in Mild Cognitive Impairment and Alzheimer's Disease: Study Based on NODDI","Journal of Alzheimer's Disease","https://pubmed.ncbi.nlm.nih.gov/31175374/","primary cross-sectional study","14 MCI, 14 AD, 14 controls","NODDI and DTI","TBSS and ROC analysis","NDI, ODI and isotropic fraction detected MCI changes not seen with FA","NODDI sensitivity over FA is established","established prior art","Very small sample and no external validation"
"2019","Free Water in White Matter Differentiates MCI and AD From Control Subjects","Frontiers in Aging Neuroscience","https://pubmed.ncbi.nlm.nih.gov/31632265/","primary ADNI cross-sectional study","81 controls, 103 MCI, 42 AD","free-water dMRI and FLAIR","whole-white-matter safe-mask free-water analysis","MCI and AD had higher free water even after excluding WMH and partial-volume-prone regions","Free-water differentiation is established","established prior art","Cross-sectional ADNI analysis; free water is not a direct neuroinflammation assay"
"2019","White matter alterations in early-stage Alzheimer's disease: A tract-specific study","Alzheimer's & Dementia: Diagnosis, Assessment & Disease Monitoring","https://doi.org/10.1016/j.dadm.2019.06.003","primary cross-sectional multimetric study","early AD spectrum and controls","DTI, NODDI and q-space diffusion","tract-specific comparison of diffusion models","Different diffusion models captured complementary tract abnormalities in early disease","Multimetric tract analysis is established","established prior art","Exploratory feature set and limited sample"
"2021","Specific White Matter Tracts and Diffusion Properties Predict Conversion From Mild Cognitive Impairment to Alzheimer's Disease","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2021.711579","primary longitudinal machine-learning study","34 MCI converters, 53 stable MCI","DTI","tract features with support-vector machine","Axial diffusivity in right hippocampal cingulum, right IFOF and left ILF helped predict conversion; FA was near chance","Direct prior art for tract-level conversion prediction and axial diffusivity superiority","established prior art","Accuracy about 0.75, single cohort and no biomarker confirmation"
"2021","Comparative Evaluation of Diffusion Kurtosis Imaging and Diffusion Tensor Imaging in Detecting Cerebral Microstructural Changes in Alzheimer Disease","Academic Radiology","https://doi.org/10.1016/j.acra.2021.01.018","primary cross-sectional study","27 AD, 25 controls","DKI and DTI","whole-brain atlas comparison","Both DKI and DTI detected abnormalities; DKI changes were more spatially limited","DKI is not automatically more sensitive or specific than DTI","established prior art","Small binary cohort and no MCI group"
"2021","Diffusion models reveal white matter microstructural changes with ageing, pathology and cognition","Brain Communications","https://doi.org/10.1093/braincomms/fcab106","primary multimodel study","older adults spanning pathology and cognitive status","multi-shell dMRI","comparison of tensor and advanced diffusion models","Metrics showed spatially heterogeneous associations with age, pathology and cognition","Supports complementary rather than interchangeable diffusion metrics","established prior art","Observational associations and multiple models increase multiplicity"
"2022","Microstructural white matter alterations in Alzheimer's disease and amnestic mild cognitive impairment and its diagnostic value based on diffusion kurtosis imaging","Brain Imaging and Behavior","https://doi.org/10.1007/s11682-021-00474-z","primary cross-sectional study","45 AD, 42 aMCI, 35 controls","DKI and DTI","TBSS, cognition correlations and ROC analysis","Kurtosis FA was altered in aMCI and splenial KFA had strong diagnostic performance","DKI-based early differentiation is established","established prior art","Single site and no independent test cohort"
"2022","Greater Diffusion Restriction in White Matter in Preclinical Alzheimer Disease","Annals of Neurology","https://pubmed.ncbi.nlm.nih.gov/35285067/","primary biomarker-defined cross-sectional study","cognitively unimpaired amyloid-negative and amyloid-positive adults","DKI and amyloid PET","white-matter tract-integrity biophysical modeling","Amyloid positivity was associated with a complex pattern including greater restriction consistent with early reactive processes","Direction of diffusion change can be biphasic, not simply degeneration","established prior art","Cross-sectional mechanistic interpretation; preclinical stage only"
"2022","Diffusion tensor tractography of the fornix in cerebral amyloid angiopathy, mild cognitive impairment and Alzheimer's disease","NeuroImage: Clinical","https://doi.org/10.1016/j.nicl.2022.103002","primary cross-sectional differential-diagnosis study","68 controls, 32 CAA, 21 AD, 26 MCI","DTI and FLAIR","high-resolution fornix tractography","Fornix diffusivity was greatest in AD and CAA, while MCI did not differ from controls; tract volume was lower across clinical groups","Fornix findings are neither AD-specific nor uniformly present in MCI","novelty guardrail","Two centers and clinical diagnoses; residual partial volume possible"
"2022","Investigating Tissue-Specific Abnormalities in Alzheimer's Disease with Multi-Shell Diffusion MRI","Journal of Alzheimer's Disease","https://pmc.ncbi.nlm.nih.gov/articles/PMC9789487/","primary cross-sectional study","AD spectrum and controls","multi-shell dMRI","multi-tissue CSD with fixel, voxel and tensor morphometry","Fiber-specific and tissue-composition abnormalities extended beyond conventional DTI findings","Tissue-specific multilevel diffusion analysis is established","established prior art","Cross-sectional and modest cohort; no external replication"
"2022","Disentangling the effects of Alzheimer's and small vessel disease on white matter fibre tracts","Brain Communications","https://pmc.ncbi.nlm.nih.gov/articles/PMC9924910/","primary biomarker and disease-comparison study","387 participants including biomarker-defined AD and cerebral small-vessel disease","multi-shell dMRI","fixel-based analysis","AD and small-vessel disease produced distinguishable fiber-specific patterns","Any AD claim must account for vascular burden rather than treat all white-matter change as AD","established prior art","Observational group contrasts and disease comorbidity remain complex"
"2023","White Matter Degeneration Pathways Associated With Tau Deposition in Alzheimer Disease","Neurology","https://doi.org/10.1212/WNL.0000000000207250","primary biomarker-defined study","amyloid-positive adults from MCSA and ADRC","NODDI, amyloid PET and tau PET","regional white-matter pathway analysis","Tau deposition related to NODDI abnormalities in connected temporal and cingulum pathways and to cognition","Direct prior art for tau-linked tract microstructure","established prior art","Cross-sectional imaging cannot establish propagation direction"
"2024","Fixel-Based Analysis Reveals Tau-Related White Matter Changes in Early Stages of Alzheimer's Disease","Journal of Neuroscience","https://doi.org/10.1523/JNEUROSCI.0538-23.2024","primary biomarker-defined study","BioFINDER-2, approximately 393 participants","multi-shell dMRI and tau PET","fixel-based FD, FC and FDC with DTI comparison","Macrostructural fiber cross-section was related to tau and memory; DTI effects were broader but less pathology-specific","Direct prior art for tau-fixel-cognition linkage","established prior art","Cross-sectional mediation cannot prove causality"
"2024","White matter alterations and their associations with biomarkers and behavior in subjective cognitive decline individuals: a fixel-based analysis","Fluids and Barriers of the CNS","https://doi.org/10.1186/s12993-024-00238-x","primary preclinical study","SCD and controls","multi-shell dMRI and biomarkers","whole-brain fixel-based analysis","Fiber-specific changes in SCD related to biomarker and behavioral measures","Fixel abnormalities before MCI are prior art","established prior art","SCD is etiologically heterogeneous and cross-sectional"
"2025","NODDI-derived measures of microstructural integrity in medial temporal lobe white matter pathways are associated with Alzheimer's disease pathology and cognition","Imaging Neuroscience","https://doi.org/10.1162/IMAG.a.950","primary ADNI biomarker study","199 ADNI3 participants; tau PET n=135; amyloid PET n=146","NODDI, DTI, PET and cognition","medial-temporal tract ROI, mediation and random forest","NDI and ODI related more strongly than FA to tau, amyloid and memory; NDI partially mediated pathology-memory associations","Direct prior art for limbic NODDI-pathology-cognition integration","established prior art","Only 12 dementia cases; cross-sectional mediation and ADNI reuse"
"2025","Mapping Alzheimer's disease pathology using free water through integrated analysis of plasma biomarkers, microstructural DTI metrics, and macrostructural MRI measures","Alzheimer's Research & Therapy","https://pubmed.ncbi.nlm.nih.gov/40841382/","primary large-cohort multimodal study","968 participants across the AD continuum","free-water DTI, structural MRI and plasma p-tau217","association and mediation analysis","Plasma p-tau217 related to free water but not FA or MD; free water had direct and indirect cognitive associations","Direct prior art for plasma-pathology to diffusion to cognition integration","established prior art","Single health-system cohort and observational mediation"
"2025","Structure–function coupling using fixel-based analysis and functional magnetic resonance imaging in Alzheimer's disease and mild cognitive impairment","Network Neuroscience","https://doi.org/10.1162/netn_a_00461","primary ADNI multimodal study","ADNI MCI, AD and controls","multi-shell dMRI and resting-state fMRI","fixel-based structural connectome and structure-function coupling","Fixel-based structural connectivity revealed stage-related coupling alterations and cognitive associations","Direct prior art for combining fixels, connectomes and function","established prior art","ADNI reuse, cross-sectional analysis and published erratum"
"2025","Analysis of advanced diffusion models assessing white matter microstructure in Alzheimer's disease","Scientific Reports","https://doi.org/10.1038/s41598-025-09412-1","primary cross-sectional study","AD, aMCI and controls","DTI, NODDI and MAP-MRI","multi-model regional analysis","Advanced diffusion models identified complementary widespread abnormalities","Simply adding advanced diffusion models is no longer methodologically novel","established prior art","Single-center cross-sectional study without external validation"
"2010","Diffusion Tensor Tractography Reveals Abnormal Topological Organization in Structural Cortical Networks in Alzheimer's Disease","Journal of Neuroscience","https://doi.org/10.1523/JNEUROSCI.4136-10.2010","primary cross-sectional connectome study","25 AD, 30 controls","DTI tractography","whole-brain structural graph analysis","AD had longer shortest paths, lower global efficiency and frontal nodal-efficiency abnormalities while retaining small-world organization","Direct prior art for integration loss and path-length claims","established prior art","Small cohort, deterministic tensor tractography and density sensitivity"
"2012","Disrupted topological organization in white matter structural networks in amnestic mild cognitive impairment: relationship to subtype","Radiology","https://doi.org/10.1148/radiol.12112361","primary cross-sectional connectome study","18 single-domain aMCI, 20 multidomain aMCI, 36 controls","DTI tractography","whole-brain graph analysis","Global topology was more disrupted in multidomain than single-domain aMCI and related to cognition","MCI subtype and topology effects are established","established prior art","Small clinically defined subgroups and cross-sectional staging"
"2012","Prediction of Alzheimer's disease using individual structural connectivity networks","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2012.01.017","primary prognostic machine-learning study","AD, predementia AD-MCI and controls","dMRI tractography","individual connectomes with supervised classification","Individual structural networks distinguished AD and predementia cases from controls with high internal accuracy","Connectome-based individual diagnosis and prognosis predate modern GNNs","established prior art","Small cohort and likely optimistic internal validation"
"2013","Breakdown of Brain Connectivity Between Normal Aging and Alzheimer's Disease: A Structural k-Core Network Analysis","Brain Connectivity","https://doi.org/10.1089/brain.2012.0137","primary cross-sectional connectome study","ADNI controls, MCI and AD","dMRI tractography","k-core decomposition","Progressive loss involved network shells and core organization across the disease continuum","Core-periphery progression is established prior art","established prior art","Threshold and tractography choices influence k-core membership"
"2013","Disruption of cerebral networks and cognitive impairment in Alzheimer disease","Neurology","https://doi.org/10.1212/WNL.0b013e31828c2ee5","primary cross-sectional connectome study","50 early AD, 15 controls","DTI tractography and structural MRI","whole-brain graph metrics with cognitive regression","Lower local efficiency related to memory and executive deficits and added explanatory variance beyond atrophy and small-vessel markers","Direct prior art for topology-cognition relationships","established prior art","Small control group and observational regression"
"2013","Alzheimer's Disease Disrupts Rich Club Organization in Brain Connectivity Networks","IEEE ISBI","https://doi.org/10.1109/ISBI.2013.6556463","primary conference study","22 AD, 44 controls","dMRI tractography","rich-club analysis","AD had lower degree yet a higher normalized rich-club coefficient at some thresholds because edge loss changed normalization","A directionally higher rich-club coefficient can be a density artifact, not compensation","novelty guardrail","Short conference paper and threshold-dependent metric"
"2014","The Alzheimer Structural Connectome: Changes in Cortical Network Topology with Increased Amyloid Plaque Burden","Radiology","https://doi.org/10.1148/radiol.14132593","primary ADNI biomarker study","102 ADNI2 participants with DTI and florbetapir PET","DTI tractography, amyloid PET and structural MRI","regional graph topology and amyloid associations","Structural topology differed across CN, MCI and AD and related to amyloid burden","Direct prior art for amyloid-connectome topology","established prior art","Cross-sectional ADNI snapshot and regional multiple testing"
"2015","Rich Club Analysis in the Alzheimer's Disease Connectome Reveals a Relatively Undisturbed Structural Core Network","Human Brain Mapping","https://doi.org/10.1002/hbm.22830","primary ADNI connectome study","50 controls, 110 MCI, 42 AD","dMRI tractography","rich-club, feeder and peripheral edge analysis","Disease effects were often greater in lower-degree and peripheral connections than in the structural core","Direct prior art against a simple selective hub-vulnerability story","established prior art","Rich-club definition, thresholding and ADNI cohort reuse"
"2015","Brain connectivity and novel network measures for Alzheimer's disease classification","Neurobiology of Aging","https://doi.org/10.1016/j.neurobiolaging.2014.04.037","primary ADNI machine-learning study","200 ADNI participants: 50 CN, 74 early MCI, 38 late MCI, 38 AD","dMRI tractography","flow-inspired network measures and SVM","Structural connectivity and novel graph features supported multistage classification","Graph-feature machine learning on ADNI is established","established prior art","Proof-of-concept internal cross-validation and cohort reuse"
"2016","Global Efficiency of Structural Networks Mediates Cognitive Control in Mild Cognitive Impairment","Frontiers in Aging Neuroscience","https://doi.org/10.3389/fnagi.2016.00292","primary cross-sectional mediation study","older controls and MCI","dMRI tractography","tract microstructure, global graph topology and mediation","Reduced global efficiency and clustering partly mediated cingulum-microstructure associations with cognitive control","Direct prior art for tract-to-topology-to-cognition mediation","established prior art","Cross-sectional mediation does not prove causal sequence"
"2018","Stability of graph theoretical measures in structural brain networks in Alzheimer's disease","Scientific Reports","https://doi.org/10.1038/s41598-018-29927-0","primary methodological AD study","293 AD and 293 controls","structural MRI covariance networks","graph stability across thresholds and subsamples","Graph conclusions varied with construction choices; some measures were more stable than others","A robustness audit is required before treating a dashboard metric as biological","methodological prior art","Uses morphometric covariance rather than subject-level dMRI connectomes"
"2018","Rich club disturbances of the human connectome from subjective cognitive decline to Alzheimer's disease","Theranostics","https://doi.org/10.7150/thno.23772","primary continuum connectome study","62 CN, 47 SCD, 60 aMCI, 55 AD","DTI tractography","rich-club, feeder and local connection analysis","Peripheral and feeder connections were affected earlier, with rich-club connections more involved in aMCI and AD","Direct prior art for stage-dependent core-periphery progression","established prior art","Clinical staging, age differences and cross-sectional inference"
"2018","Distinct Patterns of Rich Club Organization in Alzheimer's Disease and Subcortical Vascular Dementia: A White Matter Network Study","Journal of Alzheimer's Disease","https://pubmed.ncbi.nlm.nih.gov/29710719/","primary biomarker differential-diagnosis study","30 amyloid-positive AD, 39 amyloid-negative subcortical vascular dementia, 72 CN","DTI tractography and amyloid PET","rich-club, feeder and local analysis","AD and vascular dementia showed different rich-club disruption patterns","Vascular disease can mimic but reorganize networks differently; vascular adjustment is essential","established prior art","Cross-sectional and diagnosis-specific sampling"
"2018","Metastable neural dynamics in Alzheimer's disease are disrupted by lesions to the structural connectome","NeuroImage","https://doi.org/10.1016/j.neuroimage.2018.08.033","primary computational-mechanism study","AD spectrum and controls","dMRI structural connectome and resting-state fMRI","subject-specific network lesioning and dynamical modeling","Structural lesions around hubs and default-mode regions reduced simulated metastability and related to cognition","Network dynamics provides a prior mechanistic bridge beyond graph summaries","established prior art","Causal language is model-based; lesion definition included liberal tractwise thresholds"
"2018","Changes in functional and structural brain connectome along the Alzheimer's disease continuum","Molecular Psychiatry","https://doi.org/10.1038/s41380-018-0067-8","primary longitudinal multimodal connectome study","controls, stable aMCI, converter aMCI and AD","dMRI, resting-state fMRI and structural MRI","structural and functional graph analysis with conversion groups","Connectome disruption differed across stable and converter MCI and related to the distribution of atrophy","Multimodal continuum and conversion analysis is established","established prior art","Multiple modalities and cohort stratification reduce effective power"
"2019","Identifying Brain Connectivity Using Network-Based Statistics in Amnestic Mild Cognitive Impairment Stratified by β-Amyloid Positivity","American Journal of Alzheimer's Disease & Other Dementias","https://doi.org/10.1177/1533317518813556","primary biomarker NBS study","35 amyloid-negative CN, 42 amyloid-negative aMCI, 39 amyloid-positive aMCI","DTI tractography and amyloid PET","AAL connectome and network-based statistic","Amyloid-positive aMCI showed medial frontal disruption, but no NBS component separated amyloid-positive from amyloid-negative aMCI","NBS and amyloid-stratified MCI are prior art; null contrasts also matter","established prior art","Small clinical groups, deterministic DTI and threshold dependence"
"2019","Communicability disruption in Alzheimer's disease connectivity networks","Journal of Complex Networks","https://doi.org/10.1093/comnet/cny009","primary connectome study","52 controls, 40 AD, 30 MCI converters","DTI tractography","matrix-exponential communicability analysis","Communicability captured distributed loss beyond shortest paths in AD and converter MCI","Direct novelty killer for a communicability-based claim","established prior art","Single cohort and graph construction sensitivity"
